steps,periods,consumers,demand
47,0,6,6.343973900782489
47,0,7,6.917193720255126
47,0,8,10.564944593065473
47,0,9,10.564944593065473
47,0,10,6.917193720255126
47,0,11,1.4053691281205274
47,0,12,6.343973900782489
47,0,13,10.564944593065473
47,0,14,1.4053691281205274
47,0,15,6.343973900782489
48,0,0,9.554257238844382
48,0,1,1.6707613056891286
48,0,2,6.1835449412088055
48,0,3,6.1835449412088055
48,0,4,1.6707613056891286
48,0,5,1.6707613056891286
48,0,6,6.1835449412088055
48,0,7,9.554257238844382
48,0,8,15.460213792748215
48,0,9,15.460213792748215
48,0,10,9.554257238844382
48,0,11,1.6707613056891286
48,0,12,6.1835449412088055
48,0,13,15.460213792748215
48,0,14,1.6707613056891286
48,0,15,6.1835449412088055
49,0,0,10.40497877380998
49,0,1,1.7810145898208984
49,0,2,6.768474868079908
49,0,3,6.768474868079908
49,0,4,1.7810145898208984
49,0,5,1.7810145898208984
49,0,6,6.768474868079908
49,0,7,10.40497877380998
49,0,8,16.07249948751052
49,0,9,16.07249948751052
49,0,10,10.40497877380998
49,0,11,1.7810145898208984
49,0,12,6.768474868079908
49,0,13,16.07249948751052
49,0,14,1.7810145898208984
49,0,15,6.768474868079908
50,0,0,10.40497877380998
50,0,1,1.8488627646712186
50,0,2,6.517790613706579
50,0,3,6.517790613706579
50,0,4,1.8488627646712186
50,0,5,1.8488627646712186
50,0,6,6.517790613706579
50,0,7,10.40497877380998
50,0,8,17.603213724416285
50,0,9,17.603213724416285
50,0,10,10.40497877380998
50,0,11,1.8488627646712186
50,0,12,6.517790613706579
50,0,13,17.603213724416285
50,0,14,1.8488627646712186
50,0,15,6.517790613706579
51,0,0,11.877381430481199
51,0,1,2.120255464072498
51,0,2,7.214135764743605
51,0,3,7.214135764743605
51,0,4,2.120255464072498
51,0,5,2.120255464072498
51,0,6,7.214135764743605
51,0,7,11.877381430481199
51,0,8,20.256451735052938
51,0,9,20.256451735052938
51,0,10,11.877381430481199
51,0,11,2.120255464072498
51,0,12,7.214135764743605
51,0,13,20.256451735052938
51,0,14,2.120255464072498
51,0,15,7.214135764743605
52,0,0,15.083947216120755
52,0,1,2.730889037725378
52,0,2,9.63741689035246
52,0,3,9.63741689035246
52,0,4,2.730889037725378
52,0,5,2.730889037725378
52,0,6,9.63741689035246
52,0,7,15.083947216120755
52,0,8,23.624023056245623
52,0,9,23.624023056245623
52,0,10,15.083947216120755
52,0,11,2.730889037725378
52,0,12,9.63741689035246
52,0,13,23.624023056245623
52,0,14,2.730889037725378
52,0,15,9.63741689035246
53,0,0,16.36002951856915
53,0,1,4.053928447306617
53,0,2,14.177587275113881
53,0,3,14.177587275113881
53,0,4,4.053928447306617
53,0,5,4.053928447306617
53,0,6,14.177587275113881
53,0,7,16.36002951856915
53,0,8,27.705927687994333
53,0,9,27.705927687994333
53,0,10,16.36002951856915
53,0,11,4.053928447306617
53,0,12,14.177587275113881
53,0,13,27.705927687994333
53,0,14,4.053928447306617
53,0,15,14.177587275113881
54,0,0,20.253716543988602
54,0,1,5.224309463474635
54,0,2,14.567540559694615
54,0,3,14.567540559694615
54,0,4,5.224309463474635
54,0,5,5.224309463474635
54,0,6,14.567540559694615
54,0,7,20.253716543988602
54,0,8,29.338689540693803
54,0,9,29.338689540693803
54,0,10,20.253716543988602
54,0,11,5.224309463474635
54,0,12,14.567540559694615
54,0,13,29.338689540693803
54,0,14,5.224309463474635
54,0,15,14.567540559694615
55,0,0,19.9919560716915
55,0,1,4.910511654791906
55,0,2,14.177587275113881
55,0,3,14.177587275113881
55,0,4,4.910511654791906
55,0,5,4.910511654791906
55,0,6,14.177587275113881
55,0,7,19.9919560716915
55,0,8,29.64483238807496
55,0,9,29.64483238807496
55,0,10,19.9919560716915
55,0,11,4.910511654791906
55,0,12,14.177587275113881
55,0,13,29.64483238807496
55,0,14,4.910511654791906
55,0,15,14.177587275113881
56,0,0,19.27211477287446
56,0,1,4.477979540121116
56,0,2,13.843341602616109
56,0,3,13.843341602616109
56,0,4,4.477979540121116
56,0,5,4.477979540121116
56,0,6,13.843341602616109
56,0,7,19.27211477287446
56,0,8,27.093641993232023
56,0,9,27.093641993232023
56,0,10,19.27211477287446
56,0,11,4.477979540121116
56,0,12,13.843341602616109
56,0,13,27.093641993232023
56,0,14,4.477979540121116
56,0,15,13.843341602616109
57,0,0,17.43979146679471
57,0,1,4.130257644013227
57,0,2,13.091288839496118
57,0,3,13.091288839496118
57,0,4,4.130257644013227
57,0,5,4.130257644013227
57,0,6,13.091288839496118
57,0,7,17.43979146679471
57,0,8,25.154737293151378
57,0,9,25.154737293151378
57,0,10,17.43979146679471
57,0,11,4.130257644013227
57,0,12,13.091288839496118
57,0,13,25.154737293151378
57,0,14,4.130257644013227
57,0,15,13.091288839496118
58,0,0,16.16370916434632
58,0,1,3.8419029008993673
58,0,2,12.61777413679094
58,0,3,12.61777413679094
58,0,4,3.8419029008993673
58,0,5,3.8419029008993673
58,0,6,12.61777413679094
58,0,7,16.16370916434632
58,0,8,23.470951632555046
58,0,9,23.470951632555046
58,0,10,16.16370916434632
58,0,11,3.8419029008993673
58,0,12,12.61777413679094
58,0,13,23.470951632555046
58,0,14,3.8419029008993673
58,0,15,12.61777413679094
59,0,0,15.28026757034358
59,0,1,3.638358376348407
59,0,2,12.144259434085763
59,0,3,12.144259434085763
59,0,4,3.638358376348407
59,0,5,3.638358376348407
59,0,6,12.144259434085763
59,0,7,15.28026757034358
59,0,8,22.34842785882415
59,0,9,22.34842785882415
59,0,10,15.28026757034358
59,0,11,3.638358376348407
59,0,12,12.144259434085763
59,0,13,22.34842785882415
59,0,14,3.638358376348407
59,0,15,12.144259434085763
60,0,0,14.494986153452263
60,0,1,3.595953267066957
60,0,2,11.893575179712432
60,0,3,11.893575179712432
60,0,4,3.595953267066957
60,0,5,3.595953267066957
60,0,6,11.893575179712432
60,0,7,14.494986153452263
60,0,8,21.532046932474415
60,0,9,21.532046932474415
60,0,10,14.494986153452263
60,0,11,3.595953267066957
60,0,12,11.893575179712432
60,0,13,21.532046932474415
60,0,14,3.595953267066957
60,0,15,11.893575179712432
61,0,0,14.00418526789519
61,0,1,3.562029179641797
61,0,2,11.726452343463542
61,0,3,11.726452343463542
61,0,4,3.562029179641797
61,0,5,3.562029179641797
61,0,6,11.726452343463542
61,0,7,14.00418526789519
61,0,8,21.225904085093255
