steps,periods,day ahead,solar,temperature
743,0,0.06956,0.0,4.0
744,0,0.07994,0.0,3.8
745,0,0.06755,0.0,3.9
746,0,0.06569,0.0,3.9
747,0,0.0668199999999999,0.0,4.0
748,0,0.05759,0.0,4.0
749,0,0.07496,0.0,3.8
750,0,0.09598,0.0,3.2
751,0,0.11275,0.0,3.1
752,0,0.12074,0.0,3.7
753,0,0.11129,0.0,4.4
754,0,0.10503,0.1153357663638872,4.2
755,0,0.10145,0.1856061596660556,4.8
756,0,0.09934,0.0763081473319702,4.8
757,0,0.09853,0.1915109336186306,4.8
758,0,0.09597,0.125819008443145,4.8
759,0,0.09856,0.0,4.8
760,0,0.10269,0.0,4.9
761,0,0.10912,0.0,5.0
762,0,0.11158,0.0,5.0
763,0,0.10088,0.0,5.2
764,0,0.09765,0.0,5.1
765,0,0.09475,0.0,4.9
766,0,0.08642,0.0,4.1
767,0,0.07859,0.0,4.9
